,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
25,25,10.0.0.50,5202,1073741824,4,34.78 Gb,1073741824.0,0.247005,69.38133472367079,0.9058394160583892
26,26,10.0.0.50,5202,1073741824,4,34.70 Gb,1073741824.0,0.247568,63.89426485922872,0.9265901981230403
27,27,10.0.0.50,5202,1073741824,4,34.73 Gb,1073741824.0,0.247326,64.81960375391056,0.9369134515119862
28,28,10.0.0.50,5202,1073741824,4,34.90 Gb,1073741824.0,0.246136,69.32836287799819,0.8942648592283602
29,29,10.0.0.50,5202,1073741824,4,34.76 Gb,1073741824.0,0.247106,66.24025026068841,0.9282586027111533
30,30,10.0.0.50,5202,1073741824,4,35.06 Gb,1073741824.0,0.245027,65.28425443169975,0.9197080291970743
31,31,10.0.0.50,5202,1073741824,4,34.74 Gb,1073741824.0,0.247263,69.77851929092841,0.9046923879040625
32,32,10.0.0.50,5202,1073741824,4,34.50 Gb,1073741824.0,0.248995,67.90041710114716,0.910948905109485
33,33,10.0.0.50,5202,1073741824,4,34.75 Gb,1073741824.0,0.247166,64.26058394160628,0.9220020855057305
34,34,10.0.0.50,5202,1073741824,4,33.43 Gb,1073741824.0,0.256917,68.35130344108472,0.9092805005213714
35,35,10.0.0.50,5202,1073741824,4,33.59 Gb,1073741824.0,0.255719,66.59562043795621,0.913451511991653
36,36,10.0.0.50,5202,1073741824,4,34.68 Gb,1073741824.0,0.247692,65.1266944734099,0.9336809176225177
37,37,10.0.0.50,5202,1073741824,4,34.46 Gb,1073741824.0,0.24928,63.48164754953113,0.9277372262773653
38,38,10.0.0.50,5202,1073741824,4,34.59 Gb,1073741824.0,0.248368,67.93952033368123,0.9075078206465017
39,39,10.0.0.50,5202,1073741824,4,34.33 Gb,1073741824.0,0.250241,65.55933263816486,0.9261730969760125
40,40,10.0.0.50,5202,1073741824,4,34.75 Gb,1073741824.0,0.24716,68.23618352450481,0.9039624608967622
41,41,10.0.0.50,5202,1073741824,4,34.80 Gb,1073741824.0,0.246851,66.3848800834204,0.9150156412930074
42,42,10.0.0.50,5202,1073741824,4,34.79 Gb,1073741824.0,0.246936,67.35808133472374,0.9110531803962423
43,43,10.0.0.50,5202,1073741824,4,34.50 Gb,1073741824.0,0.248996,63.56100104275317,0.9429614181438946
44,44,10.0.0.50,5202,1073741824,4,35.08 Gb,1073741824.0,0.244833,68.57966631908279,0.8931178310740316
45,45,10.0.0.50,5202,1073741824,4,34.58 Gb,1073741824.0,0.248399,64.74598540146,0.9324296141814327
46,46,10.0.0.50,5202,1073741824,4,35.19 Gb,1073741824.0,0.244126,64.95516162669489,0.9203336809176162
47,47,10.0.0.50,5202,1073741824,4,34.45 Gb,1073741824.0,0.249371,66.14285714285724,0.9173096976016648
48,48,10.0.0.50,5202,1073741824,4,34.40 Gb,1073741824.0,0.249698,64.38248175182505,0.9359749739311725
49,49,10.0.0.50,5202,1073741824,4,34.38 Gb,1073741824.0,0.249869,65.15714285714304,0.9211678832116731
50,50,10.0.0.50,5202,1073741824,4,33.85 Gb,1073741824.0,0.253799,67.40625651720568,0.908863399374343
51,51,10.0.0.50,5202,1073741824,4,32.89 Gb,1073741824.0,0.261202,65.96100104275294,0.9234619395203284
52,52,10.0.0.50,5202,1073741824,4,33.43 Gb,1073741824.0,0.256954,68.74379562043828,0.9036496350364912
53,53,10.0.0.50,5202,1073741824,4,34.46 Gb,1073741824.0,0.249294,67.49457768508871,0.9058394160583894
54,54,10.0.0.50,5202,1073741824,4,34.84 Gb,1073741824.0,0.24654,66.97924921793555,0.9144942648592232
55,55,10.0.0.50,5202,1073741824,4,32.67 Gb,1073741824.0,0.262897,64.32377476538093,0.9204379562043745
