,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
93,93,10.0.0.50,5202,1073741824,4,733.93 Mb,104857600.0,1.142977,60.15795454545451,0.942045454545454
94,94,10.0.0.50,5202,1073741824,4,950.10 Mb,104857600.0,0.882923,60.9784090909091,0.9363636363636356
95,95,10.0.0.50,5202,1073741824,4,698.88 Mb,104857600.0,1.200289,62.06477272727273,0.9306818181818174
96,96,10.0.0.50,5202,1073741824,4,612.96 Mb,104857600.0,1.368535,59.181818181818194,0.9693181818181814
97,97,10.0.0.50,5202,1073741824,4,1230.62 Mb,104857600.0,0.681655,58.5227272727273,0.979545454545454
98,98,10.0.0.50,5202,1073741824,4,900.30 Mb,104857600.0,0.931757,57.4375,0.9977272727272722
99,99,10.0.0.50,5202,1073741824,4,616.87 Mb,104857600.0,1.359873,59.30000000000002,0.9863636363636359
100,100,10.0.0.50,5202,1073741824,4,610.45 Mb,104857600.0,1.374172,75.14545454545457,0.8215909090909089
101,101,10.0.0.50,5202,1073741824,4,743.34 Mb,104857600.0,1.128507,72.64090909090913,0.8681818181818179
102,102,10.0.0.50,5202,1073741824,4,633.82 Mb,104857600.0,1.323507,63.18636363636363,0.9477272727272726
103,103,10.0.0.50,5202,1073741824,4,1060.60 Mb,104857600.0,0.790927,66.28295454545456,0.927272727272727
104,104,10.0.0.50,5202,1073741824,4,605.41 Mb,104857600.0,1.385603,61.95681818181816,0.961363636363636
105,105,10.0.0.50,5202,1073741824,4,602.42 Mb,104857600.0,1.392475,62.89886363636364,0.9511363636363632
106,106,10.0.0.50,5202,1073741824,4,604.87 Mb,104857600.0,1.386837,60.99772727272727,0.9772727272727267
107,107,10.0.0.50,5202,1073741824,4,671.95 Mb,104857600.0,1.248398,59.612500000000004,0.9863636363636357
108,108,10.0.0.50,5202,1073741824,4,764.99 Mb,104857600.0,1.096565,67.81022727272733,0.9102272727272723
109,109,10.0.0.50,5202,1073741824,4,935.45 Mb,104857600.0,0.896743,58.43068181818183,0.9784090909090906
110,110,10.0.0.50,5202,1073741824,4,707.24 Mb,104857600.0,1.186108,65.06022727272735,0.9374999999999993
111,111,10.0.0.50,5202,1073741824,4,999.63 Mb,104857600.0,0.83917,68.41590909090911,0.9056818181818177
112,112,10.0.0.50,5202,1073741824,4,1186.20 Mb,104857600.0,0.707184,71.58977272727276,0.8772727272727271
113,113,10.0.0.50,5202,1073741824,4,919.85 Mb,104857600.0,0.911958,73.81363636363636,0.8624999999999994
114,114,10.0.0.50,5202,1073741824,4,655.79 Mb,104857600.0,1.279158,55.77954545454547,1.01590909090909
115,115,10.0.0.50,5202,1073741824,4,598.82 Mb,104857600.0,1.400854,66.3545454545455,0.9147727272727271
116,116,10.0.0.50,5202,1073741824,4,936.41 Mb,104857600.0,0.895825,56.96477272727275,0.9943181818181812
117,117,10.0.0.50,5202,1073741824,4,664.28 Mb,104857600.0,1.262818,57.13863636363642,0.9579545454545445
118,118,10.0.0.50,5202,1073741824,4,1246.70 Mb,104857600.0,0.672863,62.82840909090912,0.9227272727272718
119,119,10.0.0.50,5202,1073741824,4,977.75 Mb,104857600.0,0.857953,77.35340909090911,0.881818181818181
120,120,10.0.0.50,5202,1073741824,4,738.07 Mb,104857600.0,1.13656,63.805681818181846,0.9431818181818177
121,121,10.0.0.50,5202,1073741824,4,657.11 Mb,104857600.0,1.276585,58.809090909090976,0.9545454545454536
122,122,10.0.0.50,5202,1073741824,4,653.52 Mb,104857600.0,1.28361,62.663636363636435,0.924999999999999
123,123,10.0.0.50,5202,1073741824,4,922.51 Mb,104857600.0,0.909329,79.97613636363639,0.8647727272727267
124,124,10.0.0.50,5202,1073741824,4,708.74 Mb,104857600.0,1.1836,78.9375,0.8261363636363637
125,125,10.0.0.50,5202,1073741824,4,615.39 Mb,104857600.0,1.36314,54.63977272727278,1.010227272727272
126,126,10.0.0.50,5202,1073741824,4,911.78 Mb,104857600.0,0.920021,72.97272727272728,0.8784090909090906
127,127,10.0.0.50,5202,1073741824,4,626.38 Mb,104857600.0,1.339228,58.690909090909166,0.9738636363636359
128,128,10.0.0.50,5202,1073741824,4,618.74 Mb,104857600.0,1.355748,55.98068181818184,0.9659090909090896
129,129,10.0.0.50,5202,1073741824,4,719.59 Mb,104857600.0,1.165749,76.13636363636363,0.8784090909090904
130,130,10.0.0.50,5202,1073741824,4,607.43 Mb,104857600.0,1.380999,67.8943181818182,0.917045454545454
131,131,10.0.0.50,5202,1073741824,4,603.10 Mb,104857600.0,1.390921,73.65454545454546,0.8829545454545452
132,132,10.0.0.50,5202,1073741824,4,695.78 Mb,104857600.0,1.205647,57.66136363636369,0.9488636363636356
133,133,10.0.0.50,5202,1073741824,4,1195.75 Mb,104857600.0,0.701536,54.99090909090914,0.9624999999999992
134,134,10.0.0.50,5202,1073741824,4,937.12 Mb,104857600.0,0.895149,57.40454545454554,0.9647727272727263
135,135,10.0.0.50,5202,1073741824,4,754.54 Mb,104857600.0,1.111754,58.568181818181934,0.944318181818181
136,136,10.0.0.50,5202,1073741824,4,1211.97 Mb,104857600.0,0.692148,62.77159090909095,0.9284090909090902
137,137,10.0.0.50,5202,1073741824,4,611.30 Mb,104857600.0,1.372263,64.9613636363637,0.9204545454545449
